darija_ar,translated_eng
ماعرفتش واش نختار شي عوتلا فلبحر ولا راحا فجبال فسفر جاي,I don't know if I should choose a beach or a mountain trip
يالاه عندي 5 دراهم,I have five drachmas
"پشاخ, هادشي علاش كنت كانهدر","It's a shame, that's what I've been thinking about"
مابغيتش نتزوّج,I don't want to get married
أنا سخون بزاف باش ندير شي حاجا فهاد لواقت,I'm too busy to do anything at this time
أنا متقاعد,I am retired
واش عامراك كنتي فلغابا لقريبا?,have you been in a near miss?
هادا صاحبي,He's my friend
لكليان خرج فرحان من لماحال مورا شرا دكشي لي باخي,I'm glad you came out of the closet after buying that stuff
ماوقع والو,I'm not sure
شكون لي حسّن سحا ولا لفلوسّ ?,Which is better for the money or the bag?
بغيت نشرب كاس ديال أتاي,I'd like to drink a cup of tea
لي سمعت راهوم كيخلتو ماداقات ديال لماكلا ديلا بولدان كتيرا ?,I've heard they're making the food stuff a lot easier?
"هووا مرفّح بجّهد, ديما كنت كانڭول أنشد شي حاجا فاش أيموت.","He's a good guy, I always say I'm trying to find something to kill."
علامن كاتقلّب?,Who is talking?
كايشرب لقهوا ف لبالكون,He drinks coffee in the balcony
ريحا ديال لشتا كانت دايعا,The smell of the cold was very intense
أنا فارحان حيت لقيتاك,I'm glad to meet you
قبل ماتجي,before you come
عتيني تيليفونك,Take your phone
كيف راك ليوم?,How did you do today?
"دابا, نتا شاخص اللوول لي تواصلت معاه","Now, you're the first contact I've had with him"
أش كاين,what is it
مازال,it's still
فين تولت?,Where did you go?
أشمن ريادا تبغي تلعب?,Which piano do you like to play?
النيضام قديم بزاف,The recipe is very old
ديراسا ديال لقارارات ليتخدات ف لماضي كاتخاليك تفهام لقارارات سحيحا ليخاس تاخودها ليوم,Studying the past's decisions makes you understand the important decisions you can make today
نشوفو إلا ترات شي حاجا ب زربا,Let's see if you find anything in the fridge
ردّ لبال,answer the phone
فين جا هاد لمطعام?,Where is this restaurant?
كانلعب لپيانو,I'm playing the piano
شنو اللي وقع?,What happened?
ضربنا واحاد لغدا كتير,We had a great breakfast
ماشرحوش علاش?,Why not?
واش بغيتي نمرتو?,Would you like to do it?
كايضرني بزّاف,It hurts so much
عاندا شي أطباق خاصّا,I have a special dish
يالّاه نجرّبو,Let's try
فين كاتسكن?,Where do you live?
واش هادشّي ليك?,Is that for you?
"خاسك تبقا فدار أُتعيش حياتاك, بينما أنا واحل هنا","You need to stay home and live your life, while I'm here alone."
واش هاد طريق غاديا ل ضاخلا,Is this the way to the beach?
مشا ل حاديقات ل حاياوانات,He went to the zoo
الله إرحمو,God have mercy
لكتوبا غاليين.,The books are expensive.
غادي يكون هادشي كوميك أُ غادي يجيب لنتيباه ديال تلامد لخرين.,It will be a comic book and it will bring the attention of other students.
هادي فيكرا مومتازا.,It's a wonderful idea.
راه علينا حنا باش نخلّصو فلوس إصلاحات من صاليرات ديالنا,It's up to us to save the money for repairs from our rooms
أُ هادشي كاين ساراحا...,And that's a good thing...
ماعمّرني توقّعتها,I never expected it
مومكين نهدر معا اللا فاتيها لايخلّيك?,Can I talk to the old lady to get you off?
واش نتي حمقا!,What a piece of shit!
لماحالّ حالّ,the weather
مكانفهامش بساح أشني أيخاسني ندير.,I don't understand what I have to do.
أوال واحد كايجي معا لميزمار غادي نسيفتوه موباشارا ل سكوتلاندا,The first one to come with the tourist will be taken to Scotland
أُ نتا?,And you?
ماعنديش لڭانا,I don't have a gun
"هادشي ساخيف, والاكين خلانا نداحكو معا واليديا","It's weird, but let's play it with the parents"
سماعت بلي راه هوا درايف بزاف.,I've heard it's a lot of drive.
"شوف, نتا لقدّام!","Look, you're moving!"
واش كاينين شي ناس بغيتي تعراض عليهوم?,Are there any people you want to meet?
أنا مغريبي,I'm a Moroccan
"كايعطيونا اللحم, الناقل,و الروفقا","They give us meat, beef, and chickens"
هوا تلميد زوين,It's a beautiful girl
شوكران علا لموحاداتا,Thank you for your support
دابا ندووّر ليك.,I'll talk to you.
أشناهييا أحسّن تاريقا عندك باش دوز نهار مادامش فيه ?,what's your favorite day to spend a day in the kitchen?
"بلاتي, كون مرابي!","Come on, be my friend!"
ماخايخدمش لييا هاد لبلان,Don't use this plan
هادي الستّا أُ خمسا أُعشرين,It's six and five twenty
إدان نتا پسكاتوريان?,Are you a fisherman?
واش باقي شوييا?,Do you have some left?
عمرك فكرتي كيفاش تكنولوڭيا بدلات كيفاش كانتواسلو ?,Did you ever get the idea that technology is a substitute for what you're doing?
عاود لييا علا فاتنا,I'm back on our team
كاتعسّبني شي مرّات,You think about me sometimes
بغيتي غورفا موزداواجا?,Do you want a more expensive room?
نشوفوك,See you
عندهوم 3 أُ 5,They have 3 and 5
"أياه, ماعلوم","Yes, I don't know"
مشكوك فيه,doubtful
"علا كول حال, كيداز نهارك?","Anyway, what's your day?"
ماقادرش نشوف,I can't see
عندي جوج خواتات.,I have two sisters.
أشمن شريكا ديال شوكلات فاش خدام,what kind of chocolate is in the kitchen
عازّي,sorry
هرب ليه,He ran away
ها ها,Here it is
عندو شعر زعر,he has hair
ضريسّ أُ فاتيما مابغاوش لموناضا,the president and the president don't want the present
فهمت,I understand
إلّا ألا كانت شي حرب,"If not, it's a war"
والاكين راه كاينين عرّام تلختيارات اللي تختار منّهوم.,But there are many options to choose from.
مكتاب لهيجرا,I'm writing a letter
سباه لخير دوكتور,good morning doctor
مامتافقش,Not exactly
"دوزت نهار كيزبل, شي حجا قاسحا غادي تكون مزيانا!","I've had a hard day, a hard day will be fine!"
جيب ليا معاك تريكّويا عافاك,"Bring me a suit, please"
عندهوم,they have
والاكين باقي كاينين بزاف ديال لموكوينات فهاد ألجورعا,But there are still many more in this area
"زاإد منين يكون عاندنا فاإض, غادي نبيعو لشي حاد موباشارا ولا غادي نتبادلو باش نلقاو تاوصيلا موناسّيبا","When we have a ticket, we will sell the item to the customer or exchange it for a special delivery"
موستاوا ناقص,they are less
راني مغمّض عينيا.,I've closed my eyes.
كيف صبحتي?,how did you get up?
"لموهيم, ماخاصش يكون هادشي خايب تال هاد داراجا.","Well, it doesn't have to be bad for this reason."
عاونّي !,Help me!
أه دنيا تاحت لما ناديا,"Yes, I'm going to call my name"
دغيا! بزّربا!,Go! Go!
كانحسّ براسي بيّخير,I feel better
عندي قلّايا هاواإيّا,I have a hobby
غي كانت كاندحاك!,I'd be laughing!
ماكايمشيش ل لاصال,he doesn't go to the gym
والاكين درناها,But we did
أنا بيخير هامدولّاه شوكران.,I'd like to thank him.
خليني نقدّام راسي,Let me make a speech
سحاب زوين والاكين حنا لفوڭ بزّاف!,The sky is beautiful but we're in the sky too!
علاش كاتكدب?,Why are you crying?
والاكين كان سخون بزّاف,But it was very hot
"أهلان, دوازت نهار خياب فلخدما.","Hello, I'm on a good day at work."
أنا مشيت,I'm gone
ل خمسا تل أجيال,for five generations
هاد لبلاصا زوينا,This place is beautiful
غانبدا من دابا,I'll start from now
أنا ميريكاني,I'm an american
