darija,tgt,src
كاينا كاندووّزو بزّاف تلوقت كانتفرّجو ف تلفازا,I've been spending too much time watching TV,كانقضي بزاف من الوقت في مشاهدة التلفاز
واش نتا من ميريكان?,Are you from the United States?,واش انت من الولايات المتحدة؟
"منين ضارت, ماعرافت حتا حاجا","When it hurt, I didn't know anything",و لما كان يوجعني، ما كنتش عارفش.
هادا التاريخ ديال حياتي,this is the story of my life,هادي هي قصة حياتي
الله إمسخك,God is angry,الله غاضب
أُ يالّاه لسّق يدي ف تبلا فلحيسّا ديال تافاتّوح لفانّي,And then I'll just put my hand in the bath with the open water,و من بعد، غادير نضيف يدي ل الحمام مع المياه المفتوحة
فحالي فحالك,Now it's you,دابا هادي هي ديالك
"إلا سيفتّي مسّاڭ لسيكريتيرا, غادي تعلمهوم","If you give your name to the secretary, you'll let them know",إيلا عطيت اسميك ل السكرتير، غاديك تعلمه
"لقهوا, هييّا اللي محتاج","Coffee, it's what you need",القهوة، هادي اللي محتاجها
عاجبو راصو بزّاف,I love the hair too much,كايعجبني الشعر بزاف
"واخا ناسّ اللي خدّامين هنا مزييرين, علا قبل سيكيريتي, كاتبقا عالاقتك معاهوم مزيانا?","So the people who work here are very good, besides security, keep you in good company with them?",إذن الناس اللي كايعملو هنا مزيان جدا، غير الأمن، كايبقاوك في صحبة جيدة معهم؟
ليبوط ديالو كانو مغطّيين ب لغيس,His shoes were covered in tongue,صباطو كايملكو اللسان
ولّا بودي,And maybe you,وربما انت
واش كانتي تما نتا?,have you been there?,واش كنتي هنا؟
تسباح علا خير,Good morning,صباح الخير
علاش ماكاتبغيهش?,Why don't you like it?,علاش ماعجبكش؟
ماغاديش تكون طويلا,You're not going to be long,ماكناش غادي تكون فالوقت.
دقّا دقّا,Just a minute,دقيقة وحدة
"اللا, ڭولتي غادي تاخد معاك لباوصالا.","No, I said I'd take a bottle with you.",لا، قلت لك بلي غادي ناخد زجاجة معاك.
"إلا كان النيضام قديم أُ فات عليه لوقت, فا هادا راه موشكيل ديال مووادافين عندك, ياك?","If the recipe is old and out of date, then it's a problem with your friends, right?",إيلا كانت الوصفة قديمة و ماعديت على التاريخ، فهادشي مشكلة مع أصدقائك، ياك؟
واش إمكان لييا نشوف التا لاإحا ديال لماكلا,can I see the menu for the meal?,واش يمكن لي نشوف القائمة ديال الوجبة؟
"واخا, مومكين نحاولو ناعرفوه بجوجنا!","Well, maybe we should try to find out ourselves!",واخا، يلا خلينا نحاولو نكتشفوهم حنا!
كيقرا كتاب ديال خليع,he reads the travelogue,كايقرا السفر
"أُه, أه, غادي نديرها","Oh, yeah, I'll do it",آه، نعم، أنا غادير
كاين لما ولا لعاسّير,there is nothing to do,ماكاينش شي حاجة نقدر نعملوها
جابها,I'll take it,غادي ناخدو
أوّل مرّا نصبغ شعري,first time I cut my hair,اول مرة قصت فيها شعري
هادشي موهيمّ.,That's interesting.,هادشي مثير.
طابعان راه مكتاءب!,The prints are really good!,الاصابع مزيانة بزاف!
"ليلأساف, مرّا خرا","Sorry, sometimes",سمح ليا، من وقت لآخير
خاساك تقدّمني,I want you to introduce me,بغيتك تعرّفني
بغيت نهاجر,I want to move,بغيت نتحرك
جيت بلحالوا,I came in the morning,جيت فالصباح
أنا كنفادال باباغاء ب لواشم,I'm talking about the smell,أنا كَنْتحدث عن الرائحة
قطّعت شاعري,I've done my best,حتا أنا حتا أنا حتا
أشنو كادير ف خدمتك ب دبت?,what is your job in the office?,اشنو هو شغلك فالمكتب؟
الداريجا,the drawing,الرسمة
تلبت كريدي من لبانكا,I got my credit from the bank,عندي الائتمان من البنك.
يالّاه نتغدّاو !,Let's have lunch!,خلينا نتغداو!
كانخادمو هنا,He works here,كايعمل هنا
ماعمر لوقت مايفوت,I don't miss the time,ماكانفوتش الوقت
"لا, ماعنديش دار ف لميريكان","No, I don't have a home in the US",لا، ماعنديش دار ف الولايات المتحدة
سمعط بلي عندك معا الطياب,I'm sorry you have the kitchen,سمح ليا، خاصك المطبخ.
مازال ماشفت ل أُستاد تل فيزيك,I'm still watching the physics studio,مازلت كايشوف استوديو الفيزياء
أه عندي حتّا لميمحات ديالك,"Yes, I have your notes too",نعم، عندي الملاحظات ديالك.
"بضابت, لمشي مزيان باش تهضم!","I'm sorry, it's not a good way to digest!",سمح ليا، ماشي طريقة مزيانة للتحجيم!
النعاس بزّاف خايب,sleep is very bad,النوم سيئ بزاف
فكّارتي فكولشي!,I thought so!,كنت فاكر!
دار التامارين ديالو,he did his business,كان يعمل الشي ديالو
منيمتا أُ حنا كانمشيو فهاد طريق?,when we're walking this way?,وناتمشيو من هنا؟
تاقدار تكوب لييا شي كوييّس?,Can you get me some cookies?,تقدر تجيب ليا شوية دالكعك؟
كانعراف بزاف ديال لبيران ليتقدار تستاقبل 30 واهد,I know a lot of birds that can take up 30 days,كَنْعْرَف بزاف دْ الطّْيُور لِيهُم تَاخُد 30 دِينَا
"كانقساد, بالاك!","I'm sorry, please!",سمح ليا، عافاك!
كنت كانقساد إلا لقينا لحجار ماشي قدافنا لحجار.,I was wondering if we could find the stones that didn't belong to the stones.,كنت أتساءل عما إذا كان يمكن لنا نلقا الحجارة اللي ما كانتش ديال الحجارة.
ناضي,I'm on,أنا على
حنا ديما كانديرو داكشي ليكاتبغي,We always do things that you want to do,كايديرو دايما الحاجات اللي بغيتي تعملوها
كيڭولو عليه مسيان,he's been very busy,كان مشغول بزاف
مافهامتش?,Don't you understand?,واش ما فهمتيش؟
فايت شايف هاد ل فيلم?,How do you see this movie?,كيفاش كتشوف هاد الفيلم؟
بغيتها بحال شي كسوا زويونا.,I like it like a little bit of a soup.,كايعجبني هادشي كحساء.
هاد درّي ولد شكون?,Who's son is this?,إبن من هو هاد الشخص؟
نقدر نعاون با هنا,I can help here,يمكن لي نعاون هنا
خدم مزيان أُلا سير فحالك,good service or walk around,خدمة جيدة أو تمشي
والاكين تقدار تهدار معايا علا حاجا خرا,but you're planning to spend with me on something else,و لكن انت تخطط لإنفاق معايا على شي حاجة اخرى
خاسّك تكالما,you need to talk,خاصك تتكلم
كانبغي نطيّب,I want to be nice,بغيت نكون لطيفة
"أه, إدان غادي تكون نتا دكي علييا","Yes, you'll be grateful",نعم، غادي تكون ممتن
سدّيت علا راسي فل حمّام أُبديت كانبكي,I sat on my head in the bathroom and started crying,وجلست على رأسي فالحمام وبدأت بالبكاء
كايبلانيو باش اليخيمو هاد لويكند,They plan to camp this weekend,كايخططو يخيمو فالعطلة دالعشية
لماحالّ سادّ,the shop is open,المحل مفتوح
شكون علّمك داكشي?,Who told you that?,شكون خْبَرْك بِيه؟
عندو لماناعا,he has a problem,عندو مشكل
هوا موميلّ بزّاف,He's very nice,هو لطيف بزاف
أُ أنا بساح ماكانتيقش فهاد شي باش نبقا فسما,And I'm just not convinced that I'm going to stay in shape,و أنا ماشي مقتنع بلي غادي نبقى في الشكل
تاحاجا ماوقعات,I need a scanner,محتاج ليكم ماسك
واش كاتحلام كاتاكول ل إس كرام فليل قبال ماتنود أُتاكلو?,Do you dream of eating ice cream the night before you eat?,واش كايحلمو بلياكلو الآيس كريم قبل ما تاكلوا؟
لعايبا,a game,لعبة
غادي نامراد,I'll be fine,غادي نكون بخير
هادي خدما فشكل,It's a difficult job,هاد الشغل صعيب
غالي بزّاف,it's very expensive,غالي بزاف
ماشي موشكيل,It's not a problem,ماشي مشكلة
خالينا نمشيو ناديرو شويا ت ريمايا,We should go and enjoy a little fishing,خاصنا نمشيو نتمتعوا بالصيد شوية.
"عندي باشرا شوييا سافرا, هادشي ليكاين.","I'm a little late, that's all.",أنا متأخر شوية، هادا كلشي.
واش كبير?,is it big?,واش هادا كبير؟
