Original Moroccan Arabic,Translated English
ولبراه لي كان,"And to prove it to me,"
واش البيت كبير ليكوم بزوج,Is the room big enough for two?
اشنو كتيكسوم,What is the cost?
كايدوي معايا غير لوقت ي بغا,I only have the time I need.
عندك بحال لليل بحال نهار,You look as good at night as you do during the day.
فوتي عليك المشاكل,I missed you.
أنا غادي نوزّع ڭاع لوراقي على تلاميس,I will hand out my papers on Tuesday.
كايقدمو فطور رائع من بعد الإقلاع,They serve a delicious breakfast after take-off.
مع سمعت الخبر شديت أول رحلة المغرب,When I heard the news I took the first flight to Morocco
علاش جيتي عندنا اليوم؟,Why have you come to us today?
ماجيتيش لقهوة,I didn't come for coffee.
دكشو كيجي بوحدو,Daksho is coming alone.
كون غير قدرت ن طوال,Be as tall as possible
كانتمنّا مايضربناش لبرد.,I hope we won't catch cold.
الدجاج مقلي,Fried chicken
راه حدا,It's a person.
تانفكّر واش نوض نعاونهوم.,I think I might help them.
أنا واحد منهوم,I am one of them.
نتا عندك شي مشاكل شخصية,Do you have any personal problems?
زيت تاع البلاد مليحة,The country is rich in oil.
دير راسك ماكاتفهم.,Figure out what you don't understand.
ولاكين خسّك تحتارم هاد لوقت الجديد,But I want you to keep up with this new time.
غانتهلّا ف راسي,I'll keep it in my head
"فشكل, أولّا?","In shape, first?"
واش نتا لاباس؟,Are you all right?
علاش مابغيتيش تتفاوض معاه راه كاينزل فالثمن,Why don't you negotiate with him? He's lowering the price.
شنوية حادية و كاتكر حسني نمشي نتعلمها,It's a sharp and sharp sound. I'll go learn it.
هي لي كاتكلف بكلشي,She is in charge of everything.
هادشي مايحتاجش الفليوس,This does not require a receipt.
لي استعملت,I used
بغيتيني نعاونك?,Do you want me to help you?
واحد شوية و عاود نعيط ليك,One minute and I'll call you back.
راه يكري ليها شي دار,He is renting her a house.
لي زرب تعطل,My car broke down.
نتحداك تعوم فين ماكاين حد,I dare you to swim where no one is.
بلا ما تاكل هاد الخبزة,Please don't eat this bread.
شعرها طويل و مسبب,Her hair is long and curly.
إوة أنتا؟,Who are you?
روحزيزة عند الله,A gift from God
فخبارك?,How are you doing?
راه غلط هادش لي كاتڭول,It's wrong that I'm talking like this.
خريع عامر,The whole of the country
كانسلكو معا سهد,We are talking about a cat.
علاش مابغيتيش تفرق الخبز على الناس,Why don't you distribute the bread to the people?
مابغيتيش تحت إيديك و تنسا داك لمشروع,You don't want to get your hands on that and forget about the project.
إمكان أيخصني نفسر,Can you help me explain?
سير غير نتا,Just walk.
خليا ليا الراتب قليل,I have a low salary.
الله إخلي ليك مماك الخودري,God save you from your cheddar
هاد البلاصة لي خرجت منها مابقيتش رجعت ليها,I never went back to the place I left.
باغي يدواخنا,I want our cigarettes.
شكون اللي كيدور؟,Who is running?
راك راجل وڭاد,You are a man and a woman.
علاش مابغيتيش تربح بزّاف ديال لفلوس,Why don't you want to earn a lot of money?
نتحداك ت رجّع ليا ديك لكورة راهية مورا لحيت,I dare you to return it to me for a nice ball after I have eaten it.
كولشي كان كيعيط عليا العبقاري,Everyone used to call me a genius.
هوما فرحانين حيت عطيتهم شوية ديال الخبز باش يرميوه,They were happy because I gave them some bread to throw away.
كتب بشكويا,Written complaint
صراحتان ماكاينش تاحد ليتعاول عليه فهاد العمارة؟,Is there no one to be counted on in this building?
"واخا, مايمكنش تزيد تكفّسّ عليا القضية كتر من هاكّا, و مامزيانش لكلب يبقا ف الدار نهار كامل!","Well, you can't make me feel any more stressed than that, and it's not good for a dog to be at home all day!"
أشنو باغي دابا؟,What do I want now?
ربيتي ولادك أحسن طريقة,You raised your son the best way
واش نتا واجد؟,Are you ready?
"أيه, هادو هوما شهيوات ديالي.","Yes, that's my favorite."
ماعمرني ماسافرت,I have never travelled.
"وايه, كنت كاندير بزّاف تلحوايج, و لكن مورا لكسيدة لي يالّاه شفت, محال غانقدر نرجع دغيا!","Well, I was very tired, but after the accident I saw, I can't go back any sooner!"
نقدر نعاونك,I can help you.
غيري زريف,Please be kind
دير نية ونص مع الحيا,Five and a half minutes with the live
بلا ما تبعد ل شي مدينا أخرا,Please do not go far to another city.
ديما واليديا كاتوفي بوعدها,My mother always keeps her promise.
عارفك أش كاتسواي,I know you from Katsuya.
هو مابقاش مسيحي,He is no longer a Christian.
الله يكتر خيرك,God bless you
لبسة جاتك واعرة بزاف,Your dress is very attractive.
هاد الهدرة لي قلتي ماشي ديال شي واحد كايحشم,That trash you said wasn't someone's trash
أكس تاري عندكم,You have a God.
عفاك بشحال هاد جان,Please pay for this suit.
أنا غادي نزل,I'm going down.
شي حاجة حلوة، وشي حاجة ملونة غادي تكون مزيانة!,"Something sweet, something colorful would be nice!"
عمرك جربتي تعيش في شي عصيفة,You've lived in a small town for a long time.
بغيت نڭوليك شي حاجة,I want to ask you something.
تاتبرد ونتفاهمو,Cool down and get used to it
أه راه ضحكت بتخبية موراها عليهوم كلهم.,She laughed softly behind them all.
شكرا أ لالّة,Thank you very much.
عندها,She has
علاش مابغيتيش تبدا بسلتك,Why don't you start with your suit?
فين كنتي من قبيلا؟,Where have you been lately?
كاينة.,There it is.
أنا خدام مامساليش,I am not a salesman.
بغا يكحّلها عماها,He wants to unload it.
والات مشهورة,She is famous
أولا شارك فتمرين المائي,Or participate in water aerobics.
أنا بيخير,I feel better.
وتشافرت تما بالعلالي,And I saw it up there.
تعطلنا بزاف,We are very busy.
خاصني نمشي نشري بومادة ديال الحبوب,I have to go buy some cereal.
واش خفتي؟,Are you scared?
تعطلي بزّاف باش تزيّرو,It took me a long time to visit him.
خديت القرض البنكة,I took out a loan from the bank.
معرض الفني بعيد 100 متر على البار,The art gallery is 100 metres from the bar.
مامحسوباش معانا د هاد العملية,We are not involved in this process.
علاش مابغيتيش تفوت هاد البلاصة,Why don't you want to miss this place?
واش مدة طويلة و هو دارك,Has it been long since he has been home?
إيلا كان هادشي غايفرحك نديروها,"If so, you'll be glad to do it."
آرا المقص ديال دفار,See the map of Dvar
واش نقدر نجلس على هاد الكرسي؟,May I sit in this chair?
